source_site,source_order,topcon_product_id,product_name,topcon_catalogue_category,topcon_slug,eltronic_slug_suggestion,eltronic_family_suggestion,eltronic_category_suggestion,eltronic_template_suggestion,detail_url,overview_image_url,overview_image_width,overview_image_height,primary_image_url,banner_image_url,front_image_url,rear_image_url,detail_image_urls,all_image_urls,datasheet_basic_url,datasheet_full_url,datasheet_other_url,datasheet_labels,operating_manual_url,document_urls,source_overview_url,source_datasheet_hub_url,source_manual_hub_url
Topcon Electronics,1,10,OPUS A3e,main-products,opus-a3e,topcon-opus-a3e,Topcon OPUS,Rugged HMI displays,hmi,https://topcon-electronics.de/en/products/overview/single-view/backpage/overview/productcat/main-products/product/opus-a3e.html,https://topcon-electronics.de/typo3temp/assets/_processed_/6/d/csm_OPUS_A3E_Front_web_1b244084cf.png,175,113,https://topcon-electronics.de/uploads/pics/OPUS_A3E_Front_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/c/7/csm_Produkte-Banner-OpusA3e_1920x680_c8788f6996.jpg,https://topcon-electronics.de/uploads/pics/OPUS_A3E_Front_web.png,https://topcon-electronics.de/uploads/pics/OPUS_A3E_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/c/7/csm_Produkte-Banner-OpusA3e_1920x680_c8788f6996.jpg | https://topcon-electronics.de/uploads/pics/OPUS_A3E_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_A3E_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/6/d/csm_OPUS_A3E_Front_web_1b244084cf.png | https://topcon-electronics.de/typo3temp/assets/_processed_/c/7/csm_Produkte-Banner-OpusA3e_1920x680_c8788f6996.jpg | https://topcon-electronics.de/uploads/pics/OPUS_A3E_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_A3E_Back_web.png,https://topcon-electronics.de/fileadmin/user_upload/TDS_A3e_BASIC.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_A3e_FULL.pdf,,A3 Eco Basic | A3 Eco Full,https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSA3.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_A3e_BASIC.pdf | https://topcon-electronics.de/fileadmin/user_upload/TDS_A3e_FULL.pdf | https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSA3.pdf,https://topcon-electronics.de/en/products/overview.html,https://topcon-electronics.de/en/products/technica-data-sheets.html,https://topcon-electronics.de/en/products/operating-manuals.html
Topcon Electronics,2,17,OPUS A3s,main-products,opus-a3s,topcon-opus-a3s,Topcon OPUS,Rugged HMI displays,hmi,https://topcon-electronics.de/en/products/overview/single-view/backpage/overview/productcat/main-products/product/opus-a3s.html,https://topcon-electronics.de/typo3temp/assets/_processed_/2/c/csm_OPUS_A3S_Front_web_6d4e4e8a5d.png,175,88,https://topcon-electronics.de/uploads/pics/OPUS_A3S_Front_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/6/4/csm_Produkte-Banner-OpusA3s_1920x680neu_fba43f5c59.jpg,https://topcon-electronics.de/uploads/pics/OPUS_A3S_Front_web.png,https://topcon-electronics.de/uploads/pics/OPUS_A3S_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/6/4/csm_Produkte-Banner-OpusA3s_1920x680neu_fba43f5c59.jpg | https://topcon-electronics.de/uploads/pics/OPUS_A3S_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_A3S_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/2/c/csm_OPUS_A3S_Front_web_6d4e4e8a5d.png | https://topcon-electronics.de/typo3temp/assets/_processed_/6/4/csm_Produkte-Banner-OpusA3s_1920x680neu_fba43f5c59.jpg | https://topcon-electronics.de/uploads/pics/OPUS_A3S_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_A3S_Back_web.png,https://topcon-electronics.de/fileadmin/user_upload/TDS_A3s_BASIC.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_A3s_FULL.pdf,,A3 Standard Basic | A3 Standard Full,https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSA3.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_A3s_BASIC.pdf | https://topcon-electronics.de/fileadmin/user_upload/TDS_A3s_FULL.pdf | https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSA3.pdf,https://topcon-electronics.de/en/products/overview.html,https://topcon-electronics.de/en/products/technica-data-sheets.html,https://topcon-electronics.de/en/products/operating-manuals.html
Topcon Electronics,3,199,OPUS B6e,main-products,opus-b6e,topcon-opus-b6e,Topcon OPUS,Rugged HMI displays,hmi,https://topcon-electronics.de/en/products/overview/single-view/backpage/overview/productcat/main-products/product/opus-b6e.html,https://topcon-electronics.de/typo3temp/assets/_processed_/d/1/csm_OPUS_B6E_Front_web_e44709014f.png,175,113,https://topcon-electronics.de/uploads/pics/OPUS_B6E_Front_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/d/1/csm_B6_Banner_dcc53ad67f.jpg,https://topcon-electronics.de/uploads/pics/OPUS_B6E_Front_web.png,https://topcon-electronics.de/uploads/pics/OPUS_B6E_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/d/1/csm_B6_Banner_dcc53ad67f.jpg | https://topcon-electronics.de/uploads/pics/OPUS_B6E_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_B6E_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/d/1/csm_OPUS_B6E_Front_web_e44709014f.png | https://topcon-electronics.de/typo3temp/assets/_processed_/d/1/csm_B6_Banner_dcc53ad67f.jpg | https://topcon-electronics.de/uploads/pics/OPUS_B6E_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_B6E_Back_web.png,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B6eB.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B6eF.pdf,,B6 Eco Basic | B6 Eco Full,https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB6.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B6eB.pdf | https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B6eF.pdf | https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB6.pdf,https://topcon-electronics.de/en/products/overview.html,https://topcon-electronics.de/en/products/technica-data-sheets.html,https://topcon-electronics.de/en/products/operating-manuals.html
Topcon Electronics,4,215,OPUS C Series,main-products,opus-b6e-copy-1,topcon-opus-c-series,Topcon OPUS,Rugged HMI displays,hmi,https://topcon-electronics.de/en/products/overview/single-view/backpage/overview/productcat/main-products/product/opus-b6e-copy-1.html,https://topcon-electronics.de/typo3temp/assets/_processed_/7/d/csm_C_Series_Front_5dd3187dd4.png,175,72,https://topcon-electronics.de/uploads/pics/C_Series_Front.png,https://topcon-electronics.de/typo3temp/assets/_processed_/b/6/csm_C_Banner_ecb212af9b.jpg,https://topcon-electronics.de/uploads/pics/C_Series_Front.png,https://topcon-electronics.de/uploads/pics/OPUSC07_rear2.jpg,https://topcon-electronics.de/typo3temp/assets/_processed_/b/6/csm_C_Banner_ecb212af9b.jpg | https://topcon-electronics.de/uploads/pics/C_Series_Front.png | https://topcon-electronics.de/uploads/pics/OPUSC07_rear2.jpg,https://topcon-electronics.de/typo3temp/assets/_processed_/7/d/csm_C_Series_Front_5dd3187dd4.png | https://topcon-electronics.de/typo3temp/assets/_processed_/b/6/csm_C_Banner_ecb212af9b.jpg | https://topcon-electronics.de/uploads/pics/C_Series_Front.png | https://topcon-electronics.de/uploads/pics/OPUSC07_rear2.jpg,,,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_C-Series.pdf,C Series,https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSC-Series.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_C-Series.pdf | https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSC-Series.pdf,https://topcon-electronics.de/en/products/overview.html,https://topcon-electronics.de/en/products/technica-data-sheets.html,https://topcon-electronics.de/en/products/operating-manuals.html
Topcon Electronics,5,212,OPUS B2s,main-products,opus-b2s,topcon-opus-b2s,Topcon OPUS,Rugged HMI displays,hmi,https://topcon-electronics.de/en/products/overview/single-view/backpage/overview/productcat/main-products/product/opus-b2s.html,https://topcon-electronics.de/typo3temp/assets/_processed_/f/5/csm_OPUS_B2S_Front_web_23d2393fb7.png,175,114,https://topcon-electronics.de/uploads/pics/OPUS_B2S_Front_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/4/8/csm_B2S_Banner_636189c453.jpg,https://topcon-electronics.de/uploads/pics/OPUS_B2S_Front_web.png,https://topcon-electronics.de/uploads/pics/OPUS_B2S_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/4/8/csm_B2S_Banner_636189c453.jpg | https://topcon-electronics.de/uploads/pics/OPUS_B2S_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_B2S_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/f/5/csm_OPUS_B2S_Front_web_23d2393fb7.png | https://topcon-electronics.de/typo3temp/assets/_processed_/4/8/csm_B2S_Banner_636189c453.jpg | https://topcon-electronics.de/uploads/pics/OPUS_B2S_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_B2S_Back_web.png,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2_Basic.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2_Full.pdf,,B2 Basic | B2 Full,https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB2_B2Plus.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2_Basic.pdf | https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2_Full.pdf | https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB2_B2Plus.pdf,https://topcon-electronics.de/en/products/overview.html,https://topcon-electronics.de/en/products/technica-data-sheets.html,https://topcon-electronics.de/en/products/operating-manuals.html
Topcon Electronics,6,188,OPUS B3e,main-products,opus-b3e,topcon-opus-b3e,Topcon OPUS,Rugged HMI displays,hmi,https://topcon-electronics.de/en/products/overview/single-view/backpage/overview/productcat/main-products/product/opus-b3e.html,https://topcon-electronics.de/typo3temp/assets/_processed_/0/f/csm_OPUS_B3E_Front_web_70c5591db5.png,175,114,https://topcon-electronics.de/uploads/pics/OPUS_B3E_Front_web.png,,https://topcon-electronics.de/uploads/pics/OPUS_B3E_Front_web.png,https://topcon-electronics.de/uploads/pics/OPUS_B3E_Back_web.png,https://topcon-electronics.de/uploads/pics/OPUS_B3E_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_B3E_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/0/f/csm_OPUS_B3E_Front_web_70c5591db5.png | https://topcon-electronics.de/uploads/pics/OPUS_B3E_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_B3E_Back_web.png,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B3eB.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B3eF.pdf,,B3 Eco Basic | B3 Eco Full,https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB3.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B3eB.pdf | https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B3eF.pdf | https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB3.pdf,https://topcon-electronics.de/en/products/overview.html,https://topcon-electronics.de/en/products/technica-data-sheets.html,https://topcon-electronics.de/en/products/operating-manuals.html
Topcon Electronics,7,214,OPUS B2+s,main-products,opus-b2-s,topcon-opus-b2-plus-s,Topcon OPUS,Rugged HMI displays,hmi,https://topcon-electronics.de/en/products/overview/single-view/backpage/overview/productcat/main-products/product/opus-b2-s.html,https://topcon-electronics.de/typo3temp/assets/_processed_/7/9/csm_OPUS_B2SP_Front_web_26135ac1d0.png,175,114,https://topcon-electronics.de/uploads/pics/OPUS_B2SP_Front_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/5/7/csm_B2PS_Banner_94c9fc68a6.jpg,https://topcon-electronics.de/uploads/pics/OPUS_B2SP_Front_web.png,https://topcon-electronics.de/uploads/pics/OPUS_B2SP_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/5/7/csm_B2PS_Banner_94c9fc68a6.jpg | https://topcon-electronics.de/uploads/pics/OPUS_B2SP_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_B2SP_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/7/9/csm_OPUS_B2SP_Front_web_26135ac1d0.png | https://topcon-electronics.de/typo3temp/assets/_processed_/5/7/csm_B2PS_Banner_94c9fc68a6.jpg | https://topcon-electronics.de/uploads/pics/OPUS_B2SP_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_B2SP_Back_web.png,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2__Basic.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2__Full.pdf,,B2 Plus Basic | B2 Plus Full,https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB2_B2Plus.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2__Basic.pdf | https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2__Full.pdf | https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB2_B2Plus.pdf,https://topcon-electronics.de/en/products/overview.html,https://topcon-electronics.de/en/products/technica-data-sheets.html,https://topcon-electronics.de/en/products/operating-manuals.html
Topcon Electronics,8,211,OPUS B2e,main-products,opus-b3e-copy-1,topcon-opus-b2e,Topcon OPUS,Rugged HMI displays,hmi,https://topcon-electronics.de/en/products/overview/single-view/backpage/overview/productcat/main-products/product/opus-b3e-copy-1.html,https://topcon-electronics.de/typo3temp/assets/_processed_/6/1/csm_B2EFront_eeebf46f13.png,175,114,https://topcon-electronics.de/uploads/pics/B2EFront.png,https://topcon-electronics.de/typo3temp/assets/_processed_/8/9/csm_B2E_Banner_b5681a3964.jpg,https://topcon-electronics.de/uploads/pics/B2EFront.png,https://topcon-electronics.de/uploads/pics/B2EBack.png,https://topcon-electronics.de/typo3temp/assets/_processed_/8/9/csm_B2E_Banner_b5681a3964.jpg | https://topcon-electronics.de/uploads/pics/B2EFront.png | https://topcon-electronics.de/uploads/pics/B2EBack.png,https://topcon-electronics.de/typo3temp/assets/_processed_/6/1/csm_B2EFront_eeebf46f13.png | https://topcon-electronics.de/typo3temp/assets/_processed_/8/9/csm_B2E_Banner_b5681a3964.jpg | https://topcon-electronics.de/uploads/pics/B2EFront.png | https://topcon-electronics.de/uploads/pics/B2EBack.png,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2_Basic.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2_Full.pdf,,B2 Basic | B2 Full,https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB2_B2Plus.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2_Basic.pdf | https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2_Full.pdf | https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB2_B2Plus.pdf,https://topcon-electronics.de/en/products/overview.html,https://topcon-electronics.de/en/products/technica-data-sheets.html,https://topcon-electronics.de/en/products/operating-manuals.html
Topcon Electronics,9,213,OPUS B2+e,main-products,opus-b2-e,topcon-opus-b2-plus-e,Topcon OPUS,Rugged HMI displays,hmi,https://topcon-electronics.de/en/products/overview/single-view/backpage/overview/productcat/main-products/product/opus-b2-e.html,https://topcon-electronics.de/typo3temp/assets/_processed_/0/2/csm_B2PEFront_01_8b0567724f.png,175,118,https://topcon-electronics.de/uploads/pics/B2PEFront_01.png,https://topcon-electronics.de/typo3temp/assets/_processed_/4/7/csm_B2PE_Banner_7bc17af560.jpg,https://topcon-electronics.de/uploads/pics/B2PEFront_01.png,https://topcon-electronics.de/uploads/pics/B2EPBack.png,https://topcon-electronics.de/typo3temp/assets/_processed_/4/7/csm_B2PE_Banner_7bc17af560.jpg | https://topcon-electronics.de/uploads/pics/B2PEFront_01.png | https://topcon-electronics.de/uploads/pics/B2EPBack.png,https://topcon-electronics.de/typo3temp/assets/_processed_/0/2/csm_B2PEFront_01_8b0567724f.png | https://topcon-electronics.de/typo3temp/assets/_processed_/4/7/csm_B2PE_Banner_7bc17af560.jpg | https://topcon-electronics.de/uploads/pics/B2PEFront_01.png | https://topcon-electronics.de/uploads/pics/B2EPBack.png,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2__Basic.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2__Full.pdf,,B2 Plus Basic | B2 Plus Full,https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB2_B2Plus.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2__Basic.pdf | https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS-B2__Full.pdf | https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB2_B2Plus.pdf,https://topcon-electronics.de/en/products/overview.html,https://topcon-electronics.de/en/products/technica-data-sheets.html,https://topcon-electronics.de/en/products/operating-manuals.html
Topcon Electronics,10,209,OPUS B4e,main-products,opus-b4e-6,topcon-opus-b4e,Topcon OPUS,Rugged HMI displays,hmi,https://topcon-electronics.de/en/products/overview/single-view/backpage/overview/productcat/main-products/product/opus-b4e-6.html,https://topcon-electronics.de/typo3temp/assets/_processed_/c/6/csm_OPUS_B4E_Front_web_52f7b88cea.png,175,115,https://topcon-electronics.de/uploads/pics/OPUS_B4E_Front_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/a/1/csm_B4_Banner_46efaf3cfe.jpg,https://topcon-electronics.de/uploads/pics/OPUS_B4E_Front_web.png,https://topcon-electronics.de/uploads/pics/OPUS_B4E_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/a/1/csm_B4_Banner_46efaf3cfe.jpg | https://topcon-electronics.de/uploads/pics/OPUS_B4E_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_B4E_Back_web.png,https://topcon-electronics.de/typo3temp/assets/_processed_/c/6/csm_OPUS_B4E_Front_web_52f7b88cea.png | https://topcon-electronics.de/typo3temp/assets/_processed_/a/1/csm_B4_Banner_46efaf3cfe.jpg | https://topcon-electronics.de/uploads/pics/OPUS_B4E_Front_web.png | https://topcon-electronics.de/uploads/pics/OPUS_B4E_Back_web.png,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B4eB.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B4eF.pdf,,B4 Eco Basic | B4 Eco Full,https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB4.pdf,https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B4eB.pdf | https://topcon-electronics.de/fileadmin/user_upload/TDS_OPUS_B4eF.pdf | https://topcon-electronics.de/fileadmin/user_upload/BA_OPUSB4.pdf,https://topcon-electronics.de/en/products/overview.html,https://topcon-electronics.de/en/products/technica-data-sheets.html,https://topcon-electronics.de/en/products/operating-manuals.html
